lender,total_undisbursed,total_amount,total_loans
The Bank of Houston,0,2999.97,1
The Bank of Missouri,0,376.45,1
The Bank of Princeton,0,1857601,1
The Bath State Bank,0,7763617.62,444
The Bippus State Bank,0,32105005.02,796
The Campbell & Fetter Bank,0,15736633,323
The Cecilian Bank,0,48700,6
The Central Trust Bank,0,54899,9
The Citizens Bank,0,27860,2
The Citizens Bank of Edmond,0,8333.32,1
The Citizens National Bank of Bluffton,0,1816027,25
The Citizens National Bank of Meridian,0,4115484.7,26
The Citizens National Bank of Park Rapids,0,22700,1
The City National Bank of Metropolis,0,43810,1
The Corner Stone Bank,0,20330,1
The Elberfeld State Bank,0,9046835,115
The Fahey Banking Company,0,467630.44,10
The Fairfield National Bank,0,23119.5,2
The Farmers & Merchants State Bank,0,30913668.56,708
"The Farmers Bank, Frankfort, Indiana",0,65890057,800
The Farmers National Bank of Danville,0,483200,2
The Farmers State Bank,0,1612454.54,46
The Fidelity Bank,0,8541,1
The First National Bank in Carlyle,0,20800,1
The First National Bank in Falfurrias,0,1611231.45,2
The First National Bank of Allendale,0,1297445.55,38
The First National Bank of Assumption,0,33354.6,2
The First National Bank of Carmi,0,42980832.03,517
The First National Bank of Hutchinson,0,10160,1
The First National Bank of Litchfield,0,24536,2
The First National Bank of Monterey,0,8763173.81,307
The First National Bank of Ottawa,0,6584565,18
The First National Bank of Russell Springs,0,262751.23,5
The First National Bank of Sycamore,0,180742,1
The First State Bank,0,4092270.8,9
The First State Bank of Pond Creek,0,136400,2
The First Trust and Savings Bank of Watseka,0,704052.59,9
The Freedom Bank of Virginia,0,408895.6,1
The Genoa Banking Company,0,34600,1
The Gifford State Bank,0,6400,1
The Grant County Bank,0,1221346.8,1
The Gunnison Bank and Trust Company,0,28736,2
The Hicksville Bank,0,3469117.33,110
The Home National Bank of Thorntown,0,7476209.25,203
The Leaders Bank,0,239900,1
The Lincoln National Bank of Hodgenville,0,202358.54,4
The Middlefield Banking Company,0,770800,1
The MINT National Bank,0,300732.07,16
The Murray Bank,0,311405,1
The Napoleon State Bank,0,23982520.86,846
The New Washington State Bank,0,20821800,340
The North Salem State Bank,0,29831270,794
The Northern Trust Company,0,216991,3
The Ottoville Bank Company,0,177932,1
The Paducah Bank and Trust Company,0,6002708.47,42
The Park National Bank,0,1916860.87,62
The Payne County Bank,0,2865,1
The Peoples Bank,0,4640204.21,174
The Peoples Bank Co,0,792939,16
"The Peoples State Bank of Newton, Illinois",0,1075089.33,21
The Port Washington State Bank,0,1087708.07,3
The St. Henry Bank,0,1402318,29
The State Bank and Trust Company,0,3791221,50
The State Exchange Bank,0,248.75,1
The Stephenson National Bank and Trust,0,89900,1
The Twin Valley Bank,0,239581.46,29
The Union Bank Company,0,24969056,632
Third Coast Bank SSB,0,19700,1
Three Rivers FCU,0,43352900.54,720
Thrivent FCU,0,324873,12
Thumb Bank & Trust,0,23228.83,2
"TIAA Bank, A Division of",0,3604.17,1
Tidemark FCU,0,48121,3
Timberline Bank,0,223507.5,11
TimePayment Corp.,0,983482,19
"Titan Bank, National Association",0,132942,4
Town & Country Bank,0,2811,1
"Town Bank, National Association",0,1507518,4
Town Center Bank,0,2529649.46,33
"Traditional Bank, Inc.",0,855800,5
"Transportation Alliance Bank, Inc. d/b/a TAB Bank, Inc.",0,7315355,97
Triad Bank,0,114688.62,4
Truist Bank d/b/a Branch Banking & Trust Co,0,31628898.18,95
TrustBank,0,10500,1
Trustmark National Bank,0,250446,3
U.S. Century Bank,0,11922,1
"UMB Bank, National Association",0,1847189.52,4
Umpqua Bank,0,3559500,3
Unico Bank,0,391969,8
Unify Financial FCU,0,216500,1
Union Bank and Trust Company,0,1346577,9
Union National Bank,0,1627645,16
Union State Bank,0,8284.77,1
United Bank,0,9900,1
United Bank of Michigan,0,20832,1
United Citizens Bank & Trust Company,0,213696.33,10
United Community Bank,0,401300,7
"United Community Bank of West Kentucky, Inc.",0,747122,4
United Cumberland Bank,0,575467,2
United FCU,0,4530915.15,94
"United Fidelity Bank, FSB",0,12933378.79,215
"United Midwest Savings Bank, National Association",0,1705272,27
United Roosevelt Savings Bank,0,11163.55,1
University of Michigan CU,0,20832.5,1
Univest Bank and Trust Co.,0,738987,2
US Eagle FCU,0,1791215,3
Uwharrie Bank,0,153847.1,3
Valley National Bank,0,750986,6
"Vast Bank, National Association",0,366473.52,5
"VeraBank, National Association",0,13823.76,1
Veridian CU,0,7382,2
Veritex Community Bank,0,117351.15,2
Vibrant CU,0,1083064,11
"Village Bank and Trust, National Association",0,4008327.4699999997,9
Vinings Bank,0,210400,1
Vision One CU,0,21600,1
VISIONBank,0,8194.78,1
Vista Bank,0,1195543,4
Volunteer State Bank,0,41463.47,1
VyStar CU,0,6250,1
Wadena State Bank,0,131700,1
Wallis Bank,0,77200,1
Washington Financial Bank,0,10745,1
Washington Savings Bank,0,155270.24,2
Washington Trust Bank,0,33200,2
Waterman Bank,0,88181,7
Wayne Bank and Trust Co.,0,17020719.54,267
"Webster Bank, National Association",0,4036864,2
"Wells Fargo Bank, National Association",0,11701495,79
"WesBanco Bank, Inc.",0,81304301.63,773
West Bank,0,201472.5,1
West Central Development Corporation,0,137500,1
West Community CU,0,969962,1
"West End Bank, S.B.",0,6820604,115
West Plains Bank and Trust Company,0,55588.52,1
West Suburban Bank,0,606205,15
West Town Bank & Trust,0,1177632.77,5
Westbury Bank,0,173725,2
Western Alliance Bank,0,991905,6
Western Heritage Bank,0,19860,2
Western State Bank,0,154300,1
"Westfield Bank, FSB",0,4375904.05,8
"Wheaton Bank & Trust Company, National Association",0,16785232.5,9
"Whitaker Bank, Inc",0,7702.5,1
"Wilmington Savings Fund Society, FSB",0,14375,1
Wilson & Muir Bank & Trust Company,0,540215.28,7
Windsor Federal Savings & Loan Association,0,1344342.15,1
"Wintrust Bank, National Association",0,11430558,22
Wood & Huston Bank,0,33028.82,4
Woodforest National Bank,0,6789335.59,136
Wright Patt CU Inc,0,44500.27,3
"Zions Bank, A Division of",0,1103210.91,9
Banterra Bank,NA,37930022.47,216
Beneficial State Bank,NA,15566.85,1
Benworth Capital,NA,88392330.26,6110
"Blue Ridge Bank, National Association",NA,4867498.3,209
CentreBank,NA,2904797.08,138
Customers Bank,NA,44114150.96,2425
"FCN Bank, National Association",NA,27568137.15,516
First Secure Bank and Trust Co.,NA,3249335.86,35
"Harvest Small Business Finance, LLC",NA,133452154.86,7718
Indiana Members CU,NA,40796800,686
Kentland Bank,NA,20968790,418
Metro City Bank,NA,2572960,8
Notre Dame FCU,NA,40422099.96,705
Old National Bank,NA,847345399.11,7393
Peoples Bank,NA,103489342.38,906
The Friendship State Bank,NA,10533055.19,394
The Garrett State Bank,NA,14327099.459999999,560
The Old Fort Banking Company,NA,196371,3
The Riddell National Bank,NA,22432443.31,482
Touchmark National Bank,NA,844753.43,16
